,Unnamed: 0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,Unnamed: 0,target
11430726,11430726,2021-06-27 05:32:02.823712+00:00,x,y,2021-06-29 14:00:00+00:00,2021-06-29 16:00:00+00:00,gamma,True,20.0,2,c-4,11430726,11900.0
10460213,10460213,2021-06-19 13:55:27.943812+00:00,x,y,2021-07-06 14:00:00+00:00,2021-07-06 15:55:00+00:00,beta,True,20.0,0,b-9,10460213,6375.0
4188383,4188383,2021-04-02 17:11:35.946775+00:00,x,y,2021-04-03 13:30:00+00:00,2021-04-03 15:30:00+00:00,alpha,True,15.0,1,a-5,4188383,9798.0
9963413,9963413,2021-06-15 09:58:24.374674+00:00,x,y,2021-06-28 09:45:00+00:00,2021-06-28 11:45:00+00:00,gamma,True,20.0,2,c-2,9963413,7620.0
12422942,12422942,2021-07-02 20:14:12.418009+00:00,x,y,2021-07-16 17:00:00+00:00,2021-07-16 18:59:00+00:00,gamma,True,20.0,2,c-6,12422942,13560.0
9884291,9884291,2021-06-14 17:11:22.754341+00:00,x,y,2021-08-22 07:00:00+00:00,2021-08-22 09:00:00+00:00,alpha,True,15.0,1,a-5,9884291,6531.0
6360627,6360627,2021-05-07 15:08:55.149491+00:00,x,y,2021-05-08 13:30:00+00:00,2021-05-08 15:30:00+00:00,alpha,True,15.0,1,a-5,6360627,6495.0
11969165,11969165,2021-06-30 11:05:29.941918+00:00,x,y,2021-07-12 09:45:00+00:00,2021-07-12 11:45:00+00:00,gamma,True,20.0,1,c-2,11969165,9000.0
15533500,15533500,2021-07-23 07:12:34.274716+00:00,x,y,2021-08-05 07:00:00+00:00,2021-08-05 09:00:00+00:00,alpha,True,35.0,1,a-5,15533500,12645.0
19600617,19600617,2021-08-17 10:33:28.285038+00:00,x,y,2021-08-30 04:40:00+00:00,2021-08-30 06:40:00+00:00,omega,True,20.0,1,d-1,19600617,6870.0
11260114,11260114,2021-06-25 18:12:21.099293+00:00,x,y,2021-07-23 11:00:00+00:00,2021-07-23 12:55:00+00:00,beta,True,20.0,0,b-69,11260114,6396.0
5367387,5367387,2021-04-23 18:23:04.818795+00:00,x,y,2021-05-23 17:00:00+00:00,2021-05-23 18:59:00+00:00,gamma,True,20.0,2,c-6,5367387,8640.0
18543054,18543054,2021-08-11 19:12:14.238751+00:00,x,y,2021-08-13 14:00:00+00:00,2021-08-13 16:00:00+00:00,gamma,True,20.0,2,c-4,18543054,8500.0
7719195,7719195,2021-05-25 10:09:39.279729+00:00,x,y,2021-05-28 05:00:00+00:00,2021-05-28 06:55:00+00:00,beta,True,20.0,0,b-1,7719195,7395.0
5385055,5385055,2021-04-23 23:26:56.029430+00:00,x,y,2021-05-24 13:30:00+00:00,2021-05-24 15:30:00+00:00,alpha,True,15.0,1,a-5,5385055,7796.0
7154378,7154378,2021-05-19 01:59:28.816759+00:00,x,y,2021-06-07 13:00:00+00:00,2021-06-07 15:00:00+00:00,alpha,True,15.0,1,a-5,7154378,6531.0
14638005,14638005,2021-07-16 02:53:56.271864+00:00,x,y,2021-08-01 04:00:00+00:00,2021-08-01 06:00:00+00:00,alpha,True,15.0,1,a-1,14638005,11245.0
11346268,11346268,2021-06-26 11:52:23.762315+00:00,x,y,2021-06-27 07:00:00+00:00,2021-06-27 09:00:00+00:00,alpha,True,35.0,1,a-5,11346268,15377.0
20548884,20548884,2021-08-23 02:51:20.537523+00:00,x,y,2021-08-24 17:00:00+00:00,2021-08-24 18:59:00+00:00,gamma,True,20.0,2,c-6,20548884,17090.0
21527993,21527993,2021-08-30 04:57:20.803200+00:00,x,y,2021-09-05 10:00:00+00:00,2021-09-05 12:00:00+00:00,alpha,True,20.0,1,a-7,21527993,10545.0
3651517,3651517,2021-03-21 19:50:55.539340+00:00,x,y,2021-04-03 11:00:00+00:00,2021-04-03 12:55:00+00:00,beta,True,20.0,0,b-69,3651517,9281.0
13716464,13716464,2021-07-09 20:24:02.900098+00:00,x,y,2021-07-20 07:00:00+00:00,2021-07-20 09:00:00+00:00,alpha,True,35.0,1,a-5,13716464,10545.0
15992179,15992179,2021-07-26 11:04:31.864220+00:00,x,y,2021-08-01 10:00:00+00:00,2021-08-01 12:00:00+00:00,alpha,True,15.0,1,a-7,15992179,12945.0
15857316,15857316,2021-07-25 13:10:03.400503+00:00,x,y,2021-08-18 14:00:00+00:00,2021-08-18 15:55:00+00:00,beta,True,20.0,0,b-9,15857316,6480.0
6504755,6504755,2021-05-09 18:46:51.932495+00:00,x,y,2021-05-20 05:00:00+00:00,2021-05-20 07:00:00+00:00,gamma,True,20.0,1,c-2,6504755,7390.0
16670586,16670586,2021-07-31 16:29:15.339937+00:00,x,y,2021-08-30 10:00:00+00:00,2021-08-30 12:00:00+00:00,gamma,True,20.0,2,c-2,16670586,8765.0
5880085,5880085,2021-04-30 16:12:00.471601+00:00,x,y,2021-05-03 14:00:00+00:00,2021-05-03 15:55:00+00:00,beta,True,20.0,0,b-9,5880085,6808.0
19189847,19189847,2021-08-15 06:23:56.049992+00:00,x,y,2021-08-24 17:00:00+00:00,2021-08-24 18:59:00+00:00,gamma,True,20.0,1,c-6,19189847,8750.0
2754762,2754762,2021-03-07 04:15:03.168547+00:00,x,y,2021-05-23 14:00:00+00:00,2021-05-23 15:55:00+00:00,beta,True,20.0,0,b-9,2754762,11368.0
7165806,7165806,2021-05-19 07:07:39.176621+00:00,x,y,2021-07-03 13:00:00+00:00,2021-07-03 15:00:00+00:00,alpha,True,35.0,1,a-5,7165806,7124.0
13729226,13729226,2021-07-10 00:59:14.855312+00:00,x,y,2021-07-24 04:00:00+00:00,2021-07-24 06:00:00+00:00,alpha,True,35.0,1,a-1,13729226,12645.0
6342886,6342886,2021-05-07 09:22:26.727759+00:00,x,y,2021-05-22 17:00:00+00:00,2021-05-22 18:59:00+00:00,gamma,True,20.0,2,c-6,6342886,8390.0
10186772,10186772,2021-06-17 08:10:48.938043+00:00,x,y,2021-07-13 04:00:00+00:00,2021-07-13 06:00:00+00:00,alpha,True,15.0,1,a-1,10186772,6531.0
14016519,14016519,2021-07-11 19:17:30.029704+00:00,x,y,2021-07-24 04:00:00+00:00,2021-07-24 06:00:00+00:00,alpha,True,35.0,1,a-1,14016519,12645.0
3822136,3822136,2021-03-25 13:18:19.891438+00:00,x,y,2021-04-19 05:00:00+00:00,2021-04-19 07:00:00+00:00,gamma,True,20.0,2,c-2,3822136,10800.0
21769034,21769034,2021-08-31 20:40:23.734599+00:00,x,y,2021-09-02 16:00:00+00:00,2021-09-02 18:00:00+00:00,alpha,True,15.0,1,a-23,21769034,6220.0
3185962,3185962,2021-03-13 12:48:33.259564+00:00,x,y,2021-04-06 05:00:00+00:00,2021-04-06 07:00:00+00:00,alpha,True,35.0,1,a-1,3185962,10799.0
15633611,15633611,2021-07-23 19:00:28.321801+00:00,x,y,2021-07-27 10:00:00+00:00,2021-07-27 12:00:00+00:00,gamma,True,20.0,1,c-2,15633611,11300.0
14481946,14481946,2021-07-14 20:37:35.134338+00:00,x,y,2021-07-31 11:00:00+00:00,2021-07-31 12:55:00+00:00,beta,True,40.0,0,b-69,14481946,12990.0
5896830,5896830,2021-04-30 20:40:07.593653+00:00,x,y,2021-05-07 05:00:00+00:00,2021-05-07 07:00:00+00:00,alpha,True,15.0,1,a-1,5896830,6495.0
16661040,16661040,2021-07-31 14:51:26.861624+00:00,x,y,2021-08-08 14:00:00+00:00,2021-08-08 16:00:00+00:00,gamma,True,20.0,1,c-4,16661040,10285.0
18758469,18758469,2021-08-12 20:11:58.894790+00:00,x,y,2021-08-22 10:00:00+00:00,2021-08-22 12:00:00+00:00,alpha,True,20.0,1,a-7,18758469,22445.0
5989657,5989657,2021-05-02 06:01:22.142347+00:00,x,y,2021-05-13 13:30:00+00:00,2021-05-13 15:30:00+00:00,alpha,True,35.0,1,a-5,5989657,5996.0
9890961,9890961,2021-06-14 17:58:49.913245+00:00,x,y,2021-06-30 13:00:00+00:00,2021-06-30 15:00:00+00:00,alpha,True,15.0,1,a-9,9890961,15692.0
7957151,7957151,2021-05-28 14:51:41.522430+00:00,x,y,2021-06-05 05:00:00+00:00,2021-06-05 07:00:00+00:00,alpha,True,15.0,1,a-1,7957151,7520.0
16141638,16141638,2021-07-27 11:02:28.310442+00:00,x,y,2021-07-29 10:00:00+00:00,2021-07-29 12:00:00+00:00,gamma,True,20.0,1,c-2,16141638,10285.0
12006727,12006727,2021-06-30 15:06:19.605796+00:00,x,y,2021-07-18 04:00:00+00:00,2021-07-18 06:00:00+00:00,alpha,True,15.0,1,a-1,12006727,9497.0
2272348,2272348,2021-02-27 16:57:45.671656+00:00,x,y,2021-04-10 05:00:00+00:00,2021-04-10 07:00:00+00:00,gamma,True,20.0,2,c-2,2272348,14000.0
7358256,7358256,2021-05-21 06:51:18.571236+00:00,x,y,2021-06-09 16:00:00+00:00,2021-06-09 18:00:00+00:00,alpha,True,15.0,1,a-7,7358256,7124.0
2039958,2039958,2021-02-22 23:24:57.677557+00:00,x,y,2021-04-04 05:00:00+00:00,2021-04-04 07:00:00+00:00,gamma,True,20.0,1,c-2,2039958,12500.0
8374282,8374282,2021-06-01 12:57:23.135732+00:00,x,y,2021-06-30 16:00:00+00:00,2021-06-30 18:00:00+00:00,alpha,True,35.0,1,a-23,8374282,9707.0
17833138,17833138,2021-08-08 20:25:03.635380+00:00,x,y,2021-08-12 17:00:00+00:00,2021-08-12 18:59:00+00:00,gamma,True,20.0,1,c-6,17833138,7245.0
16771515,16771515,2021-08-01 14:24:39.030939+00:00,x,y,2021-08-02 14:00:00+00:00,2021-08-02 16:00:00+00:00,gamma,True,20.0,2,c-4,16771515,10000.0
1781057,1781057,2021-02-16 17:11:20.423748+00:00,x,y,2021-02-19 17:00:00+00:00,2021-02-19 18:59:00+00:00,gamma,True,20.0,1,c-6,1781057,12500.0
13913927,13913927,2021-07-11 08:03:11.818935+00:00,x,y,2021-07-15 14:00:00+00:00,2021-07-15 16:00:00+00:00,gamma,True,20.0,2,c-4,13913927,18345.0
9937979,9937979,2021-06-15 06:27:47.451834+00:00,x,y,2021-07-11 09:45:00+00:00,2021-07-11 11:45:00+00:00,gamma,True,20.0,2,c-2,9937979,7620.0
19637388,19637388,2021-08-17 14:23:12.198128+00:00,x,y,2021-09-09 05:00:00+00:00,2021-09-09 06:55:00+00:00,beta,True,20.0,0,b-1,19637388,6420.0
4534230,4534230,2021-04-12 09:39:04.814881+00:00,x,y,2021-04-13 05:00:00+00:00,2021-04-13 07:00:00+00:00,alpha,True,35.0,1,a-1,4534230,8605.0
16126674,16126674,2021-07-27 09:13:42.896676+00:00,x,y,2021-08-16 14:00:00+00:00,2021-08-16 16:00:00+00:00,gamma,True,20.0,2,c-4,16126674,9525.0
10691681,10691681,2021-06-21 13:07:31.085697+00:00,x,y,2021-08-28 13:00:00+00:00,2021-08-28 15:00:00+00:00,alpha,True,35.0,1,a-9,10691681,7124.0
18969406,18969406,2021-08-13 21:15:10.582044+00:00,x,y,2021-08-15 13:00:00+00:00,2021-08-15 15:00:00+00:00,alpha,True,20.0,1,a-9,18969406,12645.0
11459386,11459386,2021-06-27 09:23:08.197015+00:00,x,y,2021-07-14 17:00:00+00:00,2021-07-14 18:59:00+00:00,gamma,True,20.0,1,c-6,11459386,8100.0
17943248,17943248,2021-08-09 12:13:28.839800+00:00,x,y,2021-08-23 10:00:00+00:00,2021-08-23 12:00:00+00:00,alpha,True,20.0,1,a-7,17943248,10545.0
13171457,13171457,2021-07-06 16:45:31.465453+00:00,x,y,2021-07-15 14:00:00+00:00,2021-07-15 16:00:00+00:00,gamma,True,20.0,1,c-4,13171457,11800.0
2089428,2089428,2021-02-24 06:00:08.037347+00:00,x,y,2021-02-26 05:00:00+00:00,2021-02-26 07:00:00+00:00,gamma,True,20.0,1,c-2,2089428,12500.0
21708707,21708707,2021-08-31 12:58:16.891472+00:00,x,y,2021-09-03 16:00:00+00:00,2021-09-03 18:00:00+00:00,alpha,True,15.0,1,a-23,21708707,6810.0
